Altium Designer Pick and Place Locations
C:\Users\Yasiru Alahakoon\Downloads\UPDATED FUN\FINAL_FUN _GENE\Project Outputs for Function Gene\Pick Place for PCB Sheet01.csv

========================================================================================================================
File Design Information:

Date:       22/11/23
Time:       02:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"H9","0022232031","TopLayer","HDRV3W87P0X254_1X3_747X635X1105P","3745.000","1285.000","0","Connector"
"S3","HTSW-103-07-T-D","TopLayer","HDRV6W64P254_2X3_762X502X838P","1385.000","1835.000","180","Connector"
"R7","6.8K","TopLayer","FP-MBB0207-MFG","2700.000","2855.000","180","RES 10K OHM 0.6W 1% AXIAL"
"S2","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","2767.638","1660.000","180","Connector"
"S1","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","1702.362","1290.000","180","Connector"
"H8","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","3398.711","1290.000","0","CONN HEADER VERT 2POS 2.5MM"
"MAIN","61201021621","TopLayer","SHDR10W64P254_2X5_2036X885X925P","2800.000","1274.753","180","Connector"
"12VReG","LM7812CT","TopLayer","TO254P470X1028X1955-3P","6630.000","2630.000","270","Integrated Circuit"
"-12VReG","LM7812CT","TopLayer","TO254P470X1028X1955-3P","6630.000","2130.000","270","Integrated Circuit"
"J1","Source","TopLayer","FP-B2B-XH-A_LF_SN-MFG","6250.787","2965.000","180","CONN HEADER VERT 2POS 2.5MM"
"U1","TL072CP","TopLayer","P0008A","3455.000","2520.000","270","Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"
"SW","in2","TopLayer","FP-4-644456-0-MFG","4820.000","1630.000","180","CONN HEADER VERT 10POS 2.54MM"
"R18","0.5K","TopLayer","FP-MBB0207-MFG","3955.000","2225.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R17","10K","TopLayer","FP-MBB0207-MFG","4065.000","2860.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R16","5K","TopLayer","FP-MBB0207-MFG","4065.000","3045.000","180","RES 10K OHM 0.6W 1% AXIAL"
"R15","10k","TopLayer","FP-MBB0207-MFG","3945.000","2080.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R14","10K","TopLayer","FP-MBB0207-MFG","3945.000","1775.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R13","10K","TopLayer","FP-MBB0207-MFG","3945.000","1930.000","180","RES 10K OHM 0.6W 1% AXIAL"
"R12","68Kohm","TopLayer","FP-MBB0207-MFG","3350.000","2040.000","270","RES 10K OHM 0.6W 1% AXIAL"
"R11","10K","TopLayer","FP-MBB0207-MFG","3520.000","2045.000","270","RES 10K OHM 0.6W 1% AXIAL"
"R10","10K","TopLayer","FP-MBB0207-MFG","3185.000","2040.000","90","RES 10K OHM 0.6W 1% AXIAL"
"R9","10K","TopLayer","FP-MBB0207-MFG","2210.000","2815.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R8","10K","TopLayer","FP-MBB0207-MFG","2700.000","3040.000","0","RES 10K OHM 0.6W 1% AXIAL"
"R6","150OHM","TopLayer","FP-MBB0207-MFG","1605.000","2645.000","180","RES 10K OHM 0.6W 1% AXIAL"
"R5","1K","TopLayer","FP-MBB0207-MFG","1600.000","2825.000","180","RES 10K OHM 0.6W 1% AXIAL"
"R4","10K","TopLayer","FP-RLR07-MFG","2360.000","2145.000","0","RLR07C7501GSB14 Res Metal Film 7.5K Ohm 2% 1/4W ±100ppm/°C 0.001% Conformal AXL Thru-Hole Bulk"
"R3","150ohm","TopLayer","FP-RLR07-MFG","2355.000","1955.000","0","RLR07C7501GSB14 Res Metal Film 7.5K Ohm 2% 1/4W ±100ppm/°C 0.001% Conformal AXL Thru-Hole Bulk"
"R2","100K","TopLayer","FP-RR01-MFG","5720.000","2860.000","0","RES 100K OHM 5% 1W AXIAL"
"R1","100K","TopLayer","FP-RR01-MFG","5715.000","2640.000","180","RES 100K OHM 5% 1W AXIAL"
"Q5","TIP32A","TopLayer","ONSC-TO-220-3-221A-09","4845.000","1250.000","270","Complementary Silicon Plastic Power Transistor, 3-Pin TO-220, Tube"
"Q4","TIP31A","TopLayer","ONSC-TO-220-3-221A-09","5335.000","1250.000","270","Complementary Silicon Plastic Power Transistor, 3-Pin TO-220, Tube"
"Q3","SAWTOOTH","TopLayer","FAIR-TO-92","4030.000","1295.000","90","NPN General-Purpose Amplifier, 40 V VCEO, 0.2 A, -55 to 150 degC, 2-Pin TO-92, RoHS, Bulk"
"Q2","TIP32C","TopLayer","FP-TO-220-P0A0015988-MFG","6270.394","1260.000","270","TRANS PNP 100V 3A TO-220"
"Q1","TIP31C","TopLayer","FP-TO-220-P0A0015988-MFG","5810.394","1260.000","270","TRANS NPN 100V 3A TO-220"
"PW","in 1","TopLayer","FP-4-644456-0-MFG","4822.582","1800.000","0","CONN HEADER VERT 10POS 2.54MM"
"JOUT","0022232031","TopLayer","HDRV3W87P0X254_1X3_747X635X1105P","6655.000","1635.000","90","Connector"
"JL","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","4445.000","1324.213","270","CONN HEADER VERT 2POS 2.5MM"
"JIN","0022232031","TopLayer","HDRV3W87P0X254_1X3_747X635X1105P","6355.000","1630.000","90","Connector"
"IC5","AD712JNZ","TopLayer","DIP794W56P254L959H533Q8N","4025.000","2525.000","90","Integrated Circuit"
"IC4","AD711JN","TopLayer","DIP794W56P254L928H457Q8N","2840.000","2028.700","90","Integrated Circuit"
"IC3","AD711JN","TopLayer","DIP794W56P254L928H457Q8N","2860.000","2510.000","90","Integrated Circuit"
"IC2","AD711JN","TopLayer","DIP794W56P254L928H457Q8N","2280.000","2505.000","90","Integrated Circuit"
"IC1","TL071CP","TopLayer","DIP794W53P254L959H508Q8N","5755.000","2215.000","180","Integrated Circuit"
"H10","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","3720.787","1590.000","0","CONN HEADER VERT 2POS 2.5MM"
"H7","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","3150.000","2934.212","90","CONN HEADER VERT 2POS 2.5MM"
"H6","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","4514.213","2965.000","180","CONN HEADER VERT 2POS 2.5MM"
"H5","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","3290.787","1645.000","0","CONN HEADER VERT 2POS 2.5MM"
"H4","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","2175.000","1280.670","0","CONN HEADER VERT 2POS 2.5MM"
"H3","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","2190.000","1570.670","0","CONN HEADER VERT 2POS 2.5MM"
"H2","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","1390.000","1570.669","0","CONN HEADER VERT 2POS 2.5MM"
"H1","LOAD","TopLayer","FP-B2B-XH-A_LF_SN-MFG","1790.000","1570.670","0","CONN HEADER VERT 2POS 2.5MM"
"D2","1N4148","TopLayer","FP-017AG-MFG","3495.000","2865.000","0","DIODE GEN PURP 100V 200MA DO35"
"D1","1N4148","TopLayer","FP-017AG-MFG","3495.000","3056.614","180","DIODE GEN PURP 100V 200MA DO35"
"C18","1nF","TopLayer","KEMT-C333C105M5U5TA-2","5310.000","2175.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C17","10nF","TopLayer","KEMT-C333C105M5U5TA-2","5085.000","2175.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C16","100nF","TopLayer","KEMT-C333C105M5U5TA-2","4860.000","2175.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C15","1uF","TopLayer","KEMT-C333C105M5U5TA-2","4635.000","2175.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C14","10uF","TopLayer","KEMT-C333C105M5U5TA-2","4410.000","2175.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C13","1nF","TopLayer","KEMT-C333C105M5U5TA-2","4410.000","2640.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C12","10nF","TopLayer","KEMT-C333C105M5U5TA-2","4635.000","2640.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C11","100nF","TopLayer","KEMT-C333C105M5U5TA-2","4860.000","2640.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C10","1uF","TopLayer","KEMT-C333C105M5U5TA-2","5085.000","2640.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C9","10uF","TopLayer","KEMT-C333C105M5U5TA-2","5310.000","2640.000","90","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
"C8","0.01uF","TopLayer","KEMT-C333C105M5U5TA-2","1345.000","2355.000","270","Multilayer Ceramic Capacitor / Axial and Radial Leaded, 1 uF, +/- 20%, 10 to 85 degC, 2-Pin THD, RoHS, Bulk"
